,date,YYYYMMDD,EC,FS,GP,KZN,LP,MP,NC,NW,WC,UNKNOWN,Total,source
0,2020-03-05,20200305,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
1,2020-03-07,20200307,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,
2,2020-03-08,20200308,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,so
3,2020-03-09,20200309,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7,
4,2020-03-11,20200311,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,13,
5,2020-03-12,20200312,0.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,16,
6,2020-03-13,20200313,0.0,0.0,10.0,10.0,0.0,1.0,0.0,0.0,3.0,0.0,24,
7,2020-03-14,20200314,0.0,0.0,17.0,11.0,0.0,1.0,0.0,0.0,9.0,0.0,38,
8,2020-03-15,20200315,0.0,0.0,24.0,12.0,0.0,1.0,0.0,0.0,14.0,0.0,51,
9,2020-03-16,20200316,0.0,0.0,31.0,12.0,1.0,2.0,0.0,0.0,16.0,0.0,62,
10,2020-03-17,20200317,0.0,0.0,45.0,16.0,1.0,2.0,0.0,0.0,21.0,0.0,85,
11,2020-03-18,20200318,0.0,0.0,61.0,19.0,1.0,4.0,0.0,0.0,31.0,0.0,116,
12,2020-03-19,20200319,0.0,0.0,76.0,22.0,1.0,5.0,0.0,0.0,46.0,0.0,150,
13,2020-03-20,20200320,0.0,7.0,109.0,23.0,1.0,5.0,0.0,0.0,57.0,0.0,202,
14,2020-03-21,20200321,1.0,7.0,125.0,26.0,1.0,5.0,0.0,0.0,75.0,0.0,240,
15,2020-03-22,20200322,2.0,9.0,132.0,35.0,2.0,5.0,0.0,0.0,89.0,0.0,274,
16,2020-03-23,20200323,2.0,13.0,207.0,60.0,4.0,9.0,2.0,4.0,100.0,1.0,402,
17,2020-03-24,20200324,2.0,18.0,302.0,80.0,4.0,9.0,2.0,5.0,113.0,19.0,554,
18,2020-03-25,20200325,2.0,30.0,319.0,91.0,4.0,8.0,2.0,5.0,183.0,65.0,709,
19,2020-03-26,20200326,5.0,49.0,409.0,134.0,6.0,9.0,2.0,5.0,229.0,79.0,927,
20,2020-03-27,20200327,,,,,,,,,,,1170,
21,2020-03-28,20200328,10.0,68.0,533.0,156.0,11.0,10.0,5.0,6.0,271.0,117.0,1187,
22,2020-03-29,20200329,12.0,72.0,584.0,167.0,12.0,11.0,6.0,6.0,310.0,100.0,1280,
23,2020-03-30,20200330,12.0,72.0,618.0,171.0,11.0,11.0,3.0,8.0,324.0,96.0,1326,
24,2020-03-31,20200331,12.0,74.0,633.0,179.0,14.0,12.0,6.0,8.0,325.0,90.0,1353,
25,2020-04-01,20200401,15.0,76.0,645.0,186.0,14.0,12.0,7.0,9.0,326.0,90.0,1380,
26,2020-04-02,20200402,17.0,84.0,663.0,206.0,16.0,13.0,7.0,9.0,353.0,94.0,1462,
27,2020-04-03,20200403,21.0,84.0,672.0,215.0,16.0,13.0,7.0,9.0,374.0,94.0,1505,
28,2020-04-04,20200404,25.0,85.0,693.0,232.0,18.0,18.0,7.0,11.0,433.0,63.0,1585,
29,2020-04-05,20200405,31.0,87.0,704.0,246.0,19.0,18.0,8.0,11.0,454.0,77.0,1655,
30,2020-04-06,20200406,32.0,89.0,713.0,257.0,19.0,18.0,8.0,11.0,462.0,77.0,1686,
31,2020-04-07,20200407,,,,,,,,,,,1749,
32,2020-04-08,20200408,45.0,88.0,782.0,354.0,21.0,21.0,13.0,15.0,495.0,11.0,1845,
33,2020-04-09,20200409,61.0,93.0,795.0,387.0,22.0,20.0,15.0,15.0,515.0,11.0,1934,
34,2020-04-10,20200410,68.0,94.0,801.0,412.0,24.0,20.0,15.0,18.0,541.0,10.0,2003,
35,2020-04-11,20200411,69.0,94.0,813.0,418.0,23.0,20.0,16.0,19.0,546.0,10.0,2028,
36,2020-04-12,20200412,88.0,96.0,865.0,443.0,23.0,21.0,16.0,19.0,587.0,15.0,2173,
37,2020-04-13,20200413,104.0,96.0,890.0,465.0,23.0,22.0,16.0,22.0,617.0,17.0,2272,
38,2020-04-14,20200414,174.0,98.0,909.0,489.0,24.0,22.0,16.0,22.0,643.0,18.0,2415,
39,2020-04-15,20200415,199.0,97.0,930.0,519.0,25.0,22.0,16.0,23.0,657.0,18.0,2506,
40,2020-04-16,20200416,220.0,98.0,969.0,539.0,26.0,22.0,16.0,24.0,675.0,16.0,2605,
41,2020-04-17,20200417,246.0,100.0,1018.0,591.0,26.0,23.0,16.0,24.0,717.0,22.0,2783,
42,2020-04-18,20200418,270.0,100.0,1101.0,604.0,26.0,25.0,16.0,24.0,836.0,32.0,3034,
43,2020-04-19,20200419,293.0,100.0,1148.0,617.0,27.0,23.0,16.0,24.0,868.0,42.0,3158,
44,2020-04-20,20200420,310.0,105.0,1170.0,639.0,27.0,23.0,18.0,25.0,940.0,43.0,3300,https://twitter.com/DrZweliMkhize/status/1252311460962852864?s=20
45,2020-04-21,20200421,345.0,106.0,1199.0,671.0,27.0,24.0,16.0,24.0,1010.0,43.0,3465,https://twitter.com/DrZweliMkhize/status/1252631607166500866?s=20
46,2020-04-22,20200422,377.0,106.0,1224.0,758.0,27.0,23.0,16.0,24.0,1079.0,1.0,3635,https://sacoronavirus.co.za/2020/04/22/update-on-covid-19-22nd-april-2020/
47,2020-04-23,20200423,417.0,106.0,1252.0,807.0,27.0,23.0,16.0,25.0,1279.0,1.0,3953,https://sacoronavirus.co.za/2020/04/23/update-on-covid-19-23rd-april-2020-2/
48,2020-04-24,20200424,480.0,111.0,1281.0,841.0,29.0,24.0,16.0,25.0,1413.0,0.0,4220,https://twitter.com/nicd_sa/status/1253769210301427713?s=21
49,2020-04-25,20200425,488.0,111.0,1304.0,841.0,30.0,23.0,16.0,28.0,1514.0,0.0,4361,https://twitter.com/DrZweliMkhize/status/1254108225991041024?s=20
50,2020-04-26,20200426,535.0,110.0,1331.0,863.0,31.0,23.0,17.0,28.0,1608.0,0.0,4546,https://twitter.com/DrZweliMkhize/status/1254477361615187968?s=20
51,2020-04-27,20200427,588.0,111.0,1353.0,902.0,31.0,26.0,17.0,31.0,1737.0,0.0,4793,https://twitter.com/drzwelimkhize/status/1254848109794021378?s=21
52,2020-04-28,20200428,616.0,113.0,1377.0,919.0,31.0,26.0,17.0,29.0,1870.0,0.0,4996,https://twitter.com/COVID_19_ZA/status/1255200757973909508?s=20
53,2020-04-29,20200429,630.0,113.0,1408.0,956.0,31.0,31.0,17.0,29.0,2135.0,0.0,5350,https://sacoronavirus.co.za/2020/04/29/update-on-covid-19-29th-april-2020/
54,2020-04-30,20200430,647.0,116.0,1446.0,980.0,32.0,36.0,17.0,31.0,2342.0,0.0,5647,https://sacoronavirus.co.za/2020/04/30/update-on-covid-19-30th-april-2020/
55,2020-05-01,20200501,691.0,118.0,1507.0,1006.0,34.0,35.0,18.0,18.0,2507.0,0.0,5951,https://sacoronavirus.co.za/2020/05/01/update-on-covid-19-1st-may-2020/
